" Date","AMZN EBITDA (FQ)","AAPL EBITDA (FQ)","GOOGL EBITDA (FQ)","FB EBITDA (FQ)","NFLX EBITDA (FQ)"
09-30-2009,"303.00","0.00","2,453.00","0.00","56.95"
09-26-2009,"0.00","3,862.00","0.00","0.00","0.00"
06-30-2009,"252.00","0.00","2,251.00","0.00","61.80"
06-27-2009,"0.00","2,814.00","0.00","0.00","0.00"
03-31-2009,"291.00","0.00","2,287.00","0.00","45.65"
03-28-2009,"0.00","2,504.00","0.00","0.00","0.00"
12-31-2008,"312.00","0.00","2,245.72","0.00","47.06"
12-27-2008,"0.00","3,269.00","0.00","0.00","0.00"
09-30-2008,"193.00","0.00","2,033.81","0.00","42.72"
09-27-2008,"0.00","3,624.00","0.00","0.00","0.00"
06-30-2008,"198.00","0.00","1,969.57","0.00","42.39"
06-28-2008,"0.00","1,509.00","0.00","0.00","0.00"
03-31-2008,"230.00","0.00","1,882.76","0.00","21.89"
03-29-2008,"0.00","1,431.00","0.00","0.00","0.00"
12-31-2007,"303.00","0.00","1,730.67","0.00","26.44"
12-29-2007,"0.00","2,232.00","0.00","0.00","0.00"
09-30-2007,"154.00","0.00","1,567.22","0.00","27.65"
09-29-2007,"0.00","1,140.00","0.00","0.00","0.00"
06-30-2007,"148.00","1,122.00","1,327.97","0.00","36.74"
03-31-2007,"180.00","1,055.00","1,426.20","0.00","15.84"
12-31-2006,"231.00","0.00","1,279.84","0.00","23.09"
12-30-2006,"0.00","1,396.00","0.00","0.00","0.00"
09-30-2006,"80.00","656.00","1,076.64","0.00","21.15"
07-01-2006,"0.00","623.00","0.00","0.00","0.00"
06-30-2006,"70.00","0.00","941.59","0.00","27.75"
04-01-2006,"0.00","579.00","0.00","0.00","0.00"
03-31-2006,"128.00","0.00","883.86","0.00","8.40"
12-31-2005,"276.00","802.00","755.59","0.00","10.33"
09-30-2005,"59.00","0.00","625.95","0.00","11.28"
09-24-2005,"0.00","452.00","0.00","0.00","0.00"
06-30-2005,"115.00","0.00","542.63","0.00","6.99"
06-25-2005,"0.00","472.00","0.00","0.00","0.00"
03-31-2005,"134.00","0.00","498.96","0.00","-7.39"
03-26-2005,"0.00","438.00","0.00","0.00","0.00"
12-31-2004,"182.00","0.00","365.65","0.00","6.87"
12-25-2004,"0.00","444.00","0.00","0.00","0.00"
09-30-2004,"104.00","0.00","253.44","0.00","20.42"
09-25-2004,"0.00","173.00","0.00","0.00","0.00"
06-30-2004,"97.00","0.00","201.97","0.00","4.39"
06-26-2004,"0.00","121.00","0.00","0.00","0.00"
03-31-2004,"121.00","0.00","179.00","0.00","-4.47"
03-27-2004,"0.00","98.00","0.00","0.00","0.00"
12-31-2003,"156.22","0.00","104.29","0.00","3.42"
12-27-2003,"0.00","107.00","0.00","0.00","0.00"
09-30-2003,"70.27","0.00","97.35","0.00","4.75"
09-27-2003,"0.00","54.20","0.00","0.00","0.00"
06-30-2003,"60.83","0.00","115.61","0.00","4.80"
06-28-2003,"0.00","33.00","0.00","0.00","0.00"
03-31-2003,"58.98","0.00","91.88","0.00","-0.62"
03-29-2003,"0.00","28.00","0.00","0.00","0.00"
12-31-2002,"86.14","0.00","0.00","0.00","-0.49"
12-28-2002,"0.00","17.00","0.00","0.00","0.00"
09-30-2002,"48.83","0.00","0.00","0.00","-1.05"
09-28-2002,"0.00","14.80","0.00","0.00","0.00"
06-30-2002,"23.82","0.00","0.00","0.00","0.04"
06-29-2002,"0.00","41.00","0.00","0.00","0.00"
03-31-2002,"34.67","0.00","0.00","0.00","-0.11"
03-30-2002,"0.00","57.00","0.00","0.00","0.00"
12-31-2001,"77.79","0.00","0.00","0.00","-1.66"
12-29-2001,"0.00","48.00","0.00","0.00","0.00"
09-30-2001,"-4.71","0.00","0.00","0.00","-2.39"
09-29-2001,"0.00","82.65","0.00","0.00","0.00"
06-30-2001,"-9.57","68.00","0.00","0.00","-6.09"
03-31-2001,"-28.44","14.00","0.00","0.00","-18.75"
12-31-2000,"147.91","0.00","0.00","0.00","0.00"
12-30-2000,"0.00","-396.00","0.00","0.00","0.00"
09-30-2000,"-49.67","102.00","0.00","0.00","0.00"
07-01-2000,"0.00","193.00","0.00","0.00","0.00"
06-30-2000,"-76.83","0.00","0.00","0.00","0.00"
04-01-2000,"0.00","191.00","0.00","0.00","0.00"
03-31-2000,"-94.74","0.00","0.00","0.00","0.00"
01-01-2000,"0.00","128.00","0.00","0.00","0.00"
12-31-1999,"-175.53","0.00","0.00","0.00","0.00"
09-30-1999,"-81.38","0.00","0.00","0.00","0.00"
09-25-1999,"0.00","86.00","0.00","0.00","0.00"
06-30-1999,"-63.82","0.00","0.00","0.00","0.00"
06-26-1999,"0.00","123.00","0.00","0.00","0.00"
03-31-1999,"-25.46","0.00","0.00","0.00","0.00"
03-27-1999,"0.00","112.00","0.00","0.00","0.00"
12-31-1998,"10.21","0.00","0.00","0.00","0.00"
12-26-1998,"0.00","150.00","0.00","0.00","0.00"
09-30-1998,"-38.82","0.00","0.00","0.00","0.00"
09-25-1998,"0.00","132.00","0.00","0.00","0.00"
06-30-1998,"-16.75","0.00","0.00","0.00","0.00"
06-26-1998,"0.00","100.00","0.00","0.00","0.00"
03-31-1998,"-8.14","0.00","0.00","0.00","0.00"
03-27-1998,"0.00","79.00","0.00","0.00","0.00"
12-31-1997,"-9.96","0.00","0.00","0.00","0.00"
12-26-1997,"0.00","68.00","0.00","0.00","0.00"
09-30-1997,"-9.26","0.00","0.00","0.00","0.00"
09-26-1997,"0.00","8.00","0.00","0.00","0.00"
06-30-1997,"-6.46","0.00","0.00","0.00","0.00"
06-27-1997,"0.00","-38.00","0.00","0.00","0.00"
03-31-1997,"-2.68","0.00","0.00","0.00","0.00"
03-28-1997,"0.00","-156.00","0.00","0.00","0.00"
12-31-1996,"-2.24","0.00","0.00","0.00","0.00"
12-27-1996,"0.00","-99.00","0.00","0.00","0.00"
09-30-1996,"-2.38","0.00","0.00","0.00","0.00"
09-27-1996,"0.00","52.00","0.00","0.00","0.00"
06-30-1996,"-0.75","0.00","0.00","0.00","0.00"
06-28-1996,"0.00","-94.00","0.00","0.00","0.00"
03-31-1996,"-0.32","0.00","0.00","0.00","0.00"
03-29-1996,"0.00","-929.00","0.00","0.00","0.00"
12-29-1995,"0.00","-77.00","0.00","0.00","0.00"
09-29-1995,"0.00","95.00","0.00","0.00","0.00"
06-30-1995,"0.00","193.00","0.00","0.00","0.00"
03-31-1995,"0.00","195.00","0.00","0.00","0.00"
12-30-1994,"0.00","305.00","0.00","0.00","0.00"
09-30-1994,"0.00","236.00","0.00","0.00","0.00"
07-01-1994,"0.00","147.00","0.00","0.00","0.00"
04-01-1994,"0.00","73.00","0.00","0.00","0.00"
12-31-1993,"0.00","108.00","0.00","0.00","0.00"
09-24-1993,"0.00","49.63","0.00","0.00","0.00"
06-25-1993,"0.00","55.40","0.00","0.00","0.00"